task,seed,metric,n_common_langs_or_pairs,static_wins,dynamic_wins,ties,static_win_rate,dynamic_win_rate,mean_delta_static_minus_dynamic,static_common_mean,dynamic_common_mean,static_same,dynamic_same,same_delta_static_minus_dynamic
xnli,42,accuracy,31,14,17,0,0.45161290322580644,0.5483870967741935,-0.002359729214061722,0.6724586319879483,0.6748183612020101,0.8796407185628743,0.882435129740519,-0.0027944111776446734
xnli,66,accuracy,31,18,12,1,0.5806451612903226,0.3870967741935484,0.005311550211002362,0.6814026293171679,0.6760910791061654,0.882435129740519,0.880439121756487,0.001996007984031989
xnli,all,accuracy,62,32,29,1,0.5161290322580645,0.46774193548387094,0.0014759104984703201,0.676930630652558,0.6754547201540878,,,
wikiann,42,f1,63,31,32,0,0.49206349206349204,0.5079365079365079,0.002532836663157749,0.6167628078500397,0.6142299711868819,0.8280259340186983,0.8260635819504677,0.0019623520682305884
wikiann,66,f1,63,27,36,0,0.42857142857142855,0.5714285714285714,-0.006752651836657047,0.6015666249749131,0.60831927681157,0.8290162875798235,0.8241396580095871,0.004876629570236379
wikiann,all,f1,126,58,68,0,0.4603174603174603,0.5396825396825397,-0.002109907586749649,0.6091647164124764,0.611274623999226,,,
xtreme_r.udpos,42,accuracy,53,15,37,1,0.2830188679245283,0.6981132075471698,-0.0063757357639687975,0.7098292326193867,0.7162049683833555,0.9618051059923022,0.9624877882272626,-0.0006826822349603745
xtreme_r.udpos,66,accuracy,53,14,39,0,0.2641509433962264,0.7358490566037735,-0.0036199518418837877,0.7202940186135347,0.7239139704554186,0.9615343871749903,0.9628526701114656,-0.0013182829364752902
xtreme_r.udpos,all,accuracy,106,29,76,1,0.27358490566037735,0.7169811320754716,-0.004997843802926292,0.7150616256164607,0.720059469419387,,,
all_tasks,all,mixed,294,119,173,2,0.40476190476190477,0.5884353741496599,-0.002394943361005044,0.6616360057271273,0.6640309490881324,,,
