task,seed,metric,n_common_langs_or_pairs,static_wins,ucb_wins,ties,static_win_rate,ucb_win_rate,mean_delta_static_minus_ucb,static_common_mean,ucb_common_mean,static_same,ucb_same,same_delta_static_minus_ucb
xnli,42,accuracy,31,6,25,0,0.1935483870967742,0.8064516129032258,-0.00994859282559158,0.6724586319879483,0.68240722481354,0.8796407185628743,0.8850299401197604,-0.005389221556886148
xnli,66,accuracy,31,11,19,1,0.3548387096774194,0.6129032258064516,-0.0038658512776401643,0.6814026293171679,0.6852684805948079,0.882435129740519,0.884431137724551,-0.001996007984031989
xnli,all,accuracy,62,17,44,1,0.27419354838709675,0.7096774193548387,-0.006907222051615872,0.676930630652558,0.6838378527041739,,,
wikiann,42,f1,63,21,42,0,0.3333333333333333,0.6666666666666666,-0.0029799023811683907,0.6167628078500397,0.6197427102312081,0.8280259340186983,0.8299660289647774,-0.0019400949460791628
wikiann,66,f1,63,25,38,0,0.3968253968253968,0.6031746031746031,-0.010486889934654223,0.6015666249749131,0.6120535149095673,0.8290162875798235,0.8245005896437122,0.004515697936111285
wikiann,all,f1,126,46,80,0,0.36507936507936506,0.6349206349206349,-0.006733396157911307,0.6091647164124764,0.6158981125703876,,,
xtreme_r.udpos,42,accuracy,53,11,42,0,0.20754716981132076,0.7924528301886793,-0.01143625620596885,0.7098292326193867,0.7212654888253556,0.9618051059923022,0.9621817582598664,-0.0003766522675642259
xtreme_r.udpos,66,accuracy,53,11,41,1,0.20754716981132076,0.7735849056603774,-0.006106509865426646,0.7202940186135347,0.7264005284789614,0.9615343871749903,0.9628526701114656,-0.0013182829364752902
xtreme_r.udpos,all,accuracy,106,22,83,1,0.20754716981132076,0.7830188679245284,-0.008771383035697747,0.7150616256164607,0.7238330086521585,,,
all_tasks,all,mixed,294,85,207,2,0.2891156462585034,0.7040816326530612,-0.00750483770367677,0.6616360057271273,0.6691408434308042,,,
